date,hour,rented_bike_count,temperature,humidity,wind_speed,dew_point,solar_radiation,rainfall,snowfall,cloud_cover,apparent_temperature,wind_gusts,sunshine_duration
2024-01-01,0,432,1.7,74,1.75,-2.4,0.0,0.0,0.0,100,-1.6,3.6,0.0
2024-01-01,1,583,1.7,76,2.46,-2.2,0.0,0.0,0.0,100,-2.0,3.8,0.0
2024-01-01,2,519,2.7,74,3.16,-1.5,0.0,0.0,0.0,100,-1.3,5.1,0.0
2024-01-01,3,272,2.8,74,2.69,-1.3,0.0,0.0,0.0,100,-0.9,4.9,0.0
2024-01-01,4,142,2.6,76,2.25,-1.2,0.0,0.0,0.0,65,-0.8,4.2,0.0
2024-01-01,5,76,0.6,88,2.09,-1.1,0.0,0.0,0.0,91,-2.8,3.4,0.0
2024-01-01,6,103,0.1,91,2.38,-1.2,0.0,0.0,0.0,100,-3.5,2.8,0.0
2024-01-01,7,148,1.3,88,1.02,-0.5,0.0,0.0,0.0,100,-1.4,2.8,0.0
2024-01-01,8,243,1.8,86,1.39,-0.4,0.0,0.0,0.0,100,-1.1,2.1,0.0
2024-01-01,9,437,3.1,81,1.3,0.1,4.0,0.0,0.0,100,0.4,3.1,0.0
2024-01-01,10,665,3.7,77,1.39,0.1,35.0,0.0,0.0,100,0.9,2.7,0.0
2024-01-01,11,1001,4.6,72,1.9,0.0,90.0,0.0,0.0,57,1.5,3.9,0.0
2024-01-01,12,1228,5.4,69,1.81,0.2,154.0,0.0,0.0,27,2.4,4.2,0.0
2024-01-01,13,1389,6.6,64,1.71,0.2,335.0,0.0,0.0,25,3.6,4.5,3600.0
2024-01-01,14,1636,7.5,59,2.28,0.0,380.0,0.0,0.0,98,4.2,5.2,3600.0
2024-01-01,15,1665,7.4,59,2.38,-0.2,189.0,0.0,0.0,100,4.0,5.2,1608.19
2024-01-01,16,1483,7.2,58,2.47,-0.6,91.0,0.0,0.0,100,3.7,4.7,0.0
2024-01-01,17,1121,6.9,59,2.21,-0.6,37.0,0.0,0.0,100,3.5,4.4,0.0
2024-01-01,18,818,4.7,72,1.9,0.1,9.0,0.0,0.0,4,1.6,3.4,0.0
2024-01-01,19,668,3.2,79,1.96,-0.0,0.0,0.0,0.0,91,0.1,2.9,0.0
2024-01-01,20,536,1.9,87,1.96,-0.1,0.0,0.0,0.0,32,-1.3,2.9,0.0
